Date,Max Temp,Min Temp,Precip (in.),Snowfall (in.),Total Precip (in.),Daily Mean AQI,Daily Mean PM2.5 (ug/m^3)
1/1/2016,35,6,0,0,0,51,12.3
1/2/2016,41,16,0,0,0,21,5.1
1/3/2016,46,15,0,0,0,57,14.8
1/4/2016,45,18,0,0,0,83,27.4
1/5/2016,45,23,0,0,0,59,15.9
1/6/2016,46,19,0,0,0,47,11.3
1/7/2016,35,28,0.15,1.2,1.35,58,15.4
1/8/2016,29,18,0.23,2.3,2.53,53,13.1
1/9/2016,28,6,0,0,0,82,27
1/10/2016,32,5,0,0,0,77,24.3
1/11/2016,40,12,0,0,0,56,14.3
1/12/2016,45,19,0,0,0,48,11.5
1/13/2016,51,22,0,0,0,25,6.1
1/14/2016,44,28,0,0,0,16,3.9
1/15/2016,33,19,0.01,0,0.01,18,4.2
1/16/2016,37,11,0,0,0,31,7.5
1/17/2016,38,12,0,0,0,40,9.7
1/18/2016,51,22,0,0,0,69,20.5
1/19/2016,40,26,0.01,0.1,0.11,21,5
1/20/2016,49,25,0,0,0,15,3.5
1/21/2016,40,21,0,0,0,16,3.9
1/22/2016,52,21,0,0,0,48,11.5
1/23/2016,57,32,0,0,0,58,15.4
1/24/2016,45,28,0,0,0,47,11.2
1/25/2016,37,18,0,0,0,23,5.6
1/26/2016,42,18,0,0,0,28,6.7
1/27/2016,52,24,0,0,0,40,9.5
1/28/2016,58,27,0,0,0,35,8.3
1/29/2016,55,35,0,0,0,17,4.1
1/30/2016,65,28,0.1,0.8,0.9,23,5.4
1/31/2016,34,22,0,0.2,0.2,12,2.9
2/1/2016,30,22,0.33,6.9,7.23,27,6.4
2/2/2016,22,9,0.15,4.7,4.85,13,3.2
2/3/2016,28,1,0,0,0,13,3.2
2/4/2016,34,6,0,0,0,35,8.5
2/5/2016,37,11,0,0,0,19,4.5
2/6/2016,48,17,0,0,0,13,3.1
2/7/2016,43,14,0,0,0,10,2.4
2/8/2016,42,15,0,0,0,30,7.1
2/9/2016,55,23,0,0,0,19,4.5
2/10/2016,66,34,0,0,0,15,3.6
2/11/2016,64,29,0,0,0,18,4.2
2/12/2016,52,27,0,0,0,45,10.7
2/13/2016,63,27,0,0,0,51,12.1
2/14/2016,52,27,0,0,0,8,2
2/15/2016,59,25,0,0,0,10,2.3
2/16/2016,59,28,0,0,0,17,4.1
2/17/2016,68,28,0,0,0,49,11.8
2/18/2016,73,39,0,0,0,30,7.2
2/19/2016,64,33,0,0,0,22,5.2
2/20/2016,62,27,0,0,0,25,5.9
2/21/2016,46,23,0,0,0,9,2.2
2/22/2016,51,28,0,0,0,30,7.2
2/23/2016,43,27,0,0,0,13,3
2/24/2016,50,22,0,0,0,13,3
2/25/2016,48,17,0,0,0,20,4.8
2/26/2016,61,28,0,0,0,25,5.9
2/27/2016,72,30,0,0,0,17,4.1
2/28/2016,60,36,0,0,0,11,2.7
3/1/2016,58,27,0,0,0,12,2.9
3/2/2016,61,30,0,0,0,11,2.7
3/3/2016,64,22,0,0,0,20,4.9
3/4/2016,58,33,0,0,0,21,5
3/5/2016,67,36,0,0,0,38,9.1
3/6/2016,69,36,0,0,0,23,5.4
3/7/2016,55,29,0.01,0,0.01,17,4
3/8/2016,51,26,0,0,0,21,5.1
3/9/2016,57,22,0,0,0,15,3.7
3/10/2016,67,25,0,0,0,19,4.5
3/11/2016,74,36,0,0,0,22,5.2
3/12/2016,66,35,0,0,0,23,5.5
3/13/2016,63,38,0,0,0,17,4.1
3/14/2016,65,36,0,0,0,17,4
3/15/2016,47,32,0,0,0,7,1.7
3/16/2016,48,31,0,0,0,10,2.3
3/17/2016,36,24,0.21,3.8,4.01,18,4.4
3/18/2016,30,21,0.07,0.9,0.97,25,6
3/19/2016,37,20,0,0,0,26,6.3
3/20/2016,58,19,0,0,0,17,4
3/21/2016,73,41,0,0,0,18,4.4
3/22/2016,73,39,0,0,0,16,3.9
3/23/2016,42,13,0.77,13.1,13.87,15,3.6
3/24/2016,40,10,0,0,0,27,6.4
3/25/2016,43,27,0.01,0,0.01,18,4.4
3/26/2016,34,23,0.02,0.6,0.62,19,4.6
3/27/2016,50,23,0,0,0,10,2.5
3/28/2016,65,29,0,0,0,26,6.3
3/29/2016,61,36,0.04,0,0.04,30,7.3
3/30/2016,47,29,0.04,0,0.04,16,3.8
3/31/2016,44,28,0.01,0,0.01,19,4.6
4/1/2016,51,25,0,0,0,17,4
4/2/2016,63,32,0,0,0,13,3.1
4/3/2016,69,34,0,0,0,14,3.3
4/4/2016,72,38,0,0,0,18,4.3
4/5/2016,67,38,0,0,0,15,3.7
4/6/2016,71,30,0,0,0,11,2.7
4/7/2016,65,36,0,0,0,24,5.8
4/8/2016,66,34,0,0,0,20,4.7
4/9/2016,72,39,0,0,0,20,4.9
4/10/2016,68,38,0.13,0,0.13,12,2.8
4/11/2016,60,38,0,0,0,20,4.8
4/12/2016,71,36,0.01,0,0.01,17,4.1
4/13/2016,72,41,0,0,0,16,3.8
4/14/2016,77,47,0,0,0,14,3.4
4/15/2016,54,34,0.14,0,0.14,12,2.8
4/16/2016,34,31,1.19,11.8,12.99,10,2.3
4/17/2016,36,30,0.06,0.3,0.36,9,2.2
4/18/2016,39,29,0,0,0,27,6.5
4/19/2016,44,31,0.11,0,0.11,14,3.3
4/20/2016,55,32,0,0,0,30,7.3
4/21/2016,64,37,0,0,0,22,5.2
4/22/2016,77,39,0,0,0,24,5.7
4/23/2016,77,49,0,0,0,17,4
4/24/2016,67,39,0,0,0,8,2
4/25/2016,72,38,0.02,0,0.02,22,5.2
4/26/2016,53,33,0,0,0,13,3.2
4/27/2016,54,27,0,0,0,12,2.9
4/28/2016,40,35,0.02,0,0.02,10,2.4
4/29/2016,36,31,0.73,2,2.73,19,4.5
4/30/2016,35,31,0.15,1.5,1.65,8,2
5/1/2016,42,32,0.05,0,0.05,27,6.5
5/2/2016,59,28,0,0,0,25,5.9
5/3/2016,66,40,0,0,0,21,5
5/4/2016,74,44,0,0,0,18,4.3
5/5/2016,79,44,0,0,0,17,4.1
5/6/2016,80,50,0,0,0,26,6.2
5/7/2016,55,35,0.02,0,0.02,29,6.9
5/8/2016,65,32,0,0,0,18,4.2
5/9/2016,67,41,0,0,0,15,3.5
5/10/2016,65,43,0.36,0,0.36,16,3.9
5/11/2016,61,38,0.05,0,0.05,13,3
5/12/2016,71,37,0,0,0,18,4.3
5/13/2016,71,46,0,0,0,22,5.2
5/14/2016,55,40,0,0,0,21,5
5/15/2016,59,41,0.01,0,0.01,36,8.6
5/16/2016,48,39,0.26,0,0.26,28,6.7
5/17/2016,48,39,0.08,0,0.08,10,2.5
5/18/2016,66,38,0,0,0,14,3.4
5/19/2016,73,43,0,0,0,31,7.5
5/20/2016,79,49,0,0,0,15,3.7
5/21/2016,83,53,0,0,0,25,6
5/22/2016,77,47,0,0,0,27,6.4
5/23/2016,68,42,0.07,0,0.07,31,7.4
5/24/2016,73,43,0.04,0,0.04,41,9.8
5/25/2016,73,45,0,0,0,27,6.5
5/26/2016,67,44,1.15,0,1.15,33,7.9
5/27/2016,58,45,0.23,0,0.23,15,3.6
5/28/2016,72,43,0,0,0,20,4.8
5/29/2016,76,44,0,0,0,20,4.9
5/30/2016,78,46,0.01,0,0.01,38,9.1
5/31/2016,66,47,0.05,0,0.05,20,4.7
6/1/2016,73,51,0.13,0,0.13,20,4.9
6/2/2016,79,49,0,0,0,32,7.6
6/3/2016,78,58,0,0,0,36,8.7
6/4/2016,77,55,0,0,0,25,6
6/5/2016,82,50,0,0,0,27,6.4
6/6/2016,83,56,0.38,0,0.38,36,8.7
6/7/2016,80,51,0,0,0,45,10.9
6/8/2016,83,53,0,0,0,41,9.8
6/9/2016,88,57,0,0,0,35,8.5
6/10/2016,90,57,0,0,0,29,6.9
6/11/2016,90,55,0,0,0,27,6.5
6/12/2016,85,59,0.44,0,0.44,23,5.6
